__id,component_id,sum,count,mean_distance,min_distance,max_distance
460,26,102.2177,104.0000,0.9829,0.9632,0.9939
461,26,102.2177,104.0000,0.9829,0.9632,0.9939
462,26,102.2177,104.0000,0.9829,0.9632,0.9939
463,21,192.6217,196.0000,0.9828,0.9609,0.9950
464,51,43.3367,44.0000,0.9849,0.9742,0.9936
465,21,192.6217,196.0000,0.9828,0.9609,0.9950
466,21,192.6217,196.0000,0.9828,0.9609,0.9950
467,21,192.6217,196.0000,0.9828,0.9609,0.9950
468,21,192.6217,196.0000,0.9828,0.9609,0.9950
469,21,192.6217,196.0000,0.9828,0.9609,0.9950
470,21,192.6217,196.0000,0.9828,0.9609,0.9950
471,51,43.3367,44.0000,0.9849,0.9742,0.9936
472,21,192.6217,196.0000,0.9828,0.9609,0.9950
473,8,184.7370,188.0000,0.9826,0.9611,0.9948
474,8,184.7370,188.0000,0.9826,0.9611,0.9948
